file,id,image_date,experiment,block,treatment,height,band,band_nm,replicate,cv,sd,skew,kurtosis,date_cover,richness,simpsons,shannon,date_biomass,tot_biomass,graminoids,forbs,legumes,bryophytes,woody
1430MS_20210628_DRAGNET_A_ND_2_B_1.tif,1430MS,2021-06-28,DRAGNET,A,NPK + Disturbance,2,B,450,1,32.151891510728845,24.870191066944844,1.2110746064714082,3.1952301031908243,2021-06-25,22,0.056775000000000006,2.4605164761528378,2021-07-09,63.1,32.4,6.700000000000003,21.599999999999998,2.400000000000002,NA
1431MS_20210628_DRAGNET_A_ND_2_G_1.tif,1431MS,2021-06-28,DRAGNET,A,NPK + Disturbance,2,G,560,1,35.73342229250585,22.994608255712112,1.2279457780921004,4.468157693048261,2021-06-25,22,0.056775000000000006,2.4605164761528378,2021-07-09,63.1,32.4,6.700000000000003,21.599999999999998,2.400000000000002,NA
1432MS_20210628_DRAGNET_A_ND_2_R_1.tif,1432MS,2021-06-28,DRAGNET,A,NPK + Disturbance,2,R,650,1,42.41543213617787,17.304601592475898,3.969735929256804,31.16136504778016,2021-06-25,22,0.056775000000000006,2.4605164761528378,2021-07-09,63.1,32.4,6.700000000000003,21.599999999999998,2.400000000000002,NA
1433MS_20210628_DRAGNET_A_ND_2_RE_1.tif,1433MS,2021-06-28,DRAGNET,A,NPK + Disturbance,2,RE,730,1,27.06596074455684,31.198084262791358,0.023113713668807323,-0.3877807809802083,2021-06-25,22,0.056775000000000006,2.4605164761528378,2021-07-09,63.1,32.4,6.700000000000003,21.599999999999998,2.400000000000002,NA
1434MS_20210628_DRAGNET_A_ND_2_NIR_1.tif,1434MS,2021-06-28,DRAGNET,A,NPK + Disturbance,2,NIR,840,1,23.296244782840777,30.38340040770537,-0.24284917969950845,-0.3893294929107114,2021-06-25,22,0.056775000000000006,2.4605164761528378,2021-07-09,63.1,32.4,6.700000000000003,21.599999999999998,2.400000000000002,NA
1436MS_20210628_DRAGNET_A_ND_4_B_1.tif,1436MS,2021-06-28,DRAGNET,A,NPK + Disturbance,4,B,450,1,28.628334743972484,26.992151837917362,1.0161820317976238,2.344835067076179,2021-06-25,22,0.056775000000000006,2.4605164761528378,2021-07-09,63.1,32.4,6.700000000000003,21.599999999999998,2.400000000000002,NA
1437MS_20210628_DRAGNET_A_ND_4_G_1.tif,1437MS,2021-06-28,DRAGNET,A,NPK + Disturbance,4,G,560,1,34.80628185230092,30.041091893460134,0.8938078410575283,1.872076743235163,2021-06-25,22,0.056775000000000006,2.4605164761528378,2021-07-09,63.1,32.4,6.700000000000003,21.599999999999998,2.400000000000002,NA
1438MS_20210628_DRAGNET_A_ND_4_R_1.tif,1438MS,2021-06-28,DRAGNET,A,NPK + Disturbance,4,R,650,1,41.587325798796165,25.194224050792474,2.502310454976314,11.22207828107324,2021-06-25,22,0.056775000000000006,2.4605164761528378,2021-07-09,63.1,32.4,6.700000000000003,21.599999999999998,2.400000000000002,NA
1439MS_20210628_DRAGNET_A_ND_4_RE_1.tif,1439MS,2021-06-28,DRAGNET,A,NPK + Disturbance,4,RE,730,1,23.457854774217996,30.813711691734998,-0.14748672607023344,-0.3871861490894948,2021-06-25,22,0.056775000000000006,2.4605164761528378,2021-07-09,63.1,32.4,6.700000000000003,21.599999999999998,2.400000000000002,NA
1440MS_20210628_DRAGNET_A_ND_4_NIR_1.tif,1440MS,2021-06-28,DRAGNET,A,NPK + Disturbance,4,NIR,840,1,20.53723447153539,29.69366532820444,-0.3922753075167452,-0.36858620487791427,2021-06-25,22,0.056775000000000006,2.4605164761528378,2021-07-09,63.1,32.4,6.700000000000003,21.599999999999998,2.400000000000002,NA
1442MS_20210628_DRAGNET_A_ND_6_B_1.tif,1442MS,2021-06-28,DRAGNET,A,NPK + Disturbance,6,B,450,1,25.350803319391062,26.840524944743564,0.7879900186834994,1.6442917710114973,2021-06-25,22,0.056775000000000006,2.4605164761528378,2021-07-09,63.1,32.4,6.700000000000003,21.599999999999998,2.400000000000002,NA
1443MS_20210628_DRAGNET_A_ND_6_G_1.tif,1443MS,2021-06-28,DRAGNET,A,NPK + Disturbance,6,G,560,1,32.136538948629166,31.042273810738546,0.7202411822469658,1.274528384650261,2021-06-25,22,0.056775000000000006,2.4605164761528378,2021-07-09,63.1,32.4,6.700000000000003,21.599999999999998,2.400000000000002,NA
1444MS_20210628_DRAGNET_A_ND_6_R_1.tif,1444MS,2021-06-28,DRAGNET,A,NPK + Disturbance,6,R,650,1,37.389422291464136,23.98988745300159,2.286105727956466,10.188656987275307,2021-06-25,22,0.056775000000000006,2.4605164761528378,2021-07-09,63.1,32.4,6.700000000000003,21.599999999999998,2.400000000000002,NA
1445MS_20210628_DRAGNET_A_ND_6_RE_1.tif,1445MS,2021-06-28,DRAGNET,A,NPK + Disturbance,6,RE,730,1,20.868654729961953,29.088070449966057,-0.20262395773846892,-0.2757572035728524,2021-06-25,22,0.056775000000000006,2.4605164761528378,2021-07-09,63.1,32.4,6.700000000000003,21.599999999999998,2.400000000000002,NA
1446MS_20210628_DRAGNET_A_ND_6_NIR_1.tif,1446MS,2021-06-28,DRAGNET,A,NPK + Disturbance,6,NIR,840,1,18.23765454607079,27.756783173986598,-0.43544762999022835,-0.24391419961268257,2021-06-25,22,0.056775000000000006,2.4605164761528378,2021-07-09,63.1,32.4,6.700000000000003,21.599999999999998,2.400000000000002,NA
